Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
C8,CC0402KRX7R7BB104,BottomLayer,CAP-0402,59,18.1,0,CAP CER 0.1UF 16V X7R 0402
C7,CC0402KRX7R7BB104,BottomLayer,CAP-0402,65.7,17.4,90,CAP CER 0.1UF 16V X7R 0402
C6,CC0402KRX7R7BB104,BottomLayer,CAP-0402,67.5,25.5,180,CAP CER 0.1UF 16V X7R 0402
C5,CC0603KRX5R8BB475,BottomLayer,CAP-0603,64.5,26.3,270,CAP CER 4.7UF 25V X5R 0603
C4,CC0402KRX7R7BB104,BottomLayer,CAP-0402,65.6,26.6,270,CAP CER 0.1UF 16V X7R 0402
C3,CC0603KRX7R0BB104,Top,CAP-0603,18.1,7,0,CAP CER 0.1UF 100V X7R 0603
C2,GRM2195C1H103JA01D,BottomLayer,CAP-0805,12.7,10.5,0,CAP CER 10000PF 50V C0G/NP0 0805
C1,CC0805KKX7R9BB105,BottomLayer,CAP-0805,12.7,12.3,0,CAP CER 1UF 50V X7R 0805
24V,5003,Top,TEST-POINT-0001,11.3,23.9,0,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
12V,5003,Top,TEST-POINT-0001,46.8,26.5,0,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
7V,5003,Top,TEST-POINT-0001,48.4,38.3,0,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
5V,5003,Top,TEST-POINT-0001,59.1,48.2,180,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
3V3,5003,Top,TEST-POINT-0001,67.7,35.9,270,"Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
U9,IC-CURR-0001,Top,IC-CURR,34.067,19.018,0,Current Sense Amplifier 1 Circuit 8-MSOP
